name (link),category,data type,reference,version,license
`glw_goats <https://dataverse.harvard.edu/dataverse/glw_3>`__,socio economic,RasterDataset,`Gilbert at al (2018) <https://doi.org/10.7910/DVN/OCPH42>`__,"GLW 3, last downloaded 2020-06-11",CC 4.0
`glw_horses <https://dataverse.harvard.edu/dataverse/glw_3>`__,socio economic,RasterDataset,`Gilbert at al (2018) <https://doi.org/10.7910/DVN/7Q52MV>`__,"GLW 3, last downloaded 2020-06-11",CC 4.0
`glw_pigs <https://dataverse.harvard.edu/dataverse/glw_3>`__,socio economic,RasterDataset,`Gilbert at al (2018) <https://doi.org/10.7910/DVN/33N0JG>`__,"GLW 3, last downloaded 2020-06-11",CC 4.0
`glw_sheep <https://dataverse.harvard.edu/dataverse/glw_3>`__,socio economic,RasterDataset,`Gilbert at al (2018) <https://doi.org/10.7910/DVN/BLWPZN>`__,"GLW 3, last downloaded 2020-06-11",CC 4.0
`grdc <https://portal.grdc.bafg.de/applications/public.html?publicuser=PublicUser#dataDownload/StationCatalogue>`__,observed data,GeoDataFrame,,,`Specific <https://www.bafg.de/GRDC/EN/02_srvcs/21_tmsrs/210_prtl/tou.html;jsessionid=A56D50D4A36D3D8707CBF00CBD71F106.live11291?nn=2862854>`__
`grwl <https://doi.org/10.5281/zenodo.1297434>`__,surface water,GeoDataFrame,`Allen and Pavelsky (2018) <https://doi.org/10.1126/science.aat0636>`__,1.01,CC BY 4.0
`grwl_mask <https://doi.org/10.5281/zenodo.1297434>`__,,RasterDataset,`Allen and Pavelsky (2018) <https://doi.org/10.1126/science.aat0636>`__,1.01,CC BY 4.0
`gswo <https://global-surface-water.appspot.com/download>`__,surface water,RasterDataset,`Pekel et al. (2016) <https://doi.org/10.1038/nature20584>`__,v1_1_2019,
`gtsmv3_eu_era5 <https://cds.climate.copernicus.eu/cdsapp#!/dataset/10.24381/cds.8c59054f?tab=overview>`__,ocean,GeoDataset,`Copernicus Climate Change Service 2019 <https://doi.org/10.24381/cds.8c59054f>`__,GTSM v3.0,`Specific <https://cds.climate.copernicus.eu/cdsapp/#!/terms/licence-to-use-copernicus-products>`__
hydro_lakes,surface water,GeoDataFrame,,1.0,
`hydro_merit <http://hydro.iis.u-tokyo.ac.jp/~yamadai/MERIT_Hydro>`__,topography,RasterDataset,`Yamazaki et al. (2019) <https://doi.org/10.1029/2019WR024873>`__,1.0,CC-BY-NC 4.0 or ODbL 1.0
`hydro_merit_1k <https://doi.org/10.5281/zenodo.4138776>`__,topography,RasterDataset,`Eilander et al. (in review) <https://doi.org/10.5194/hess-2020-582>`__,0.1,CC-BY-NC 4.0
hydro_reservoirs,surface water,GeoDataFrame,,1.0,
`koppen_geiger <http://koeppen-geiger.vu-wien.ac.at/present.htm>`__,meteo,RasterDataset,`Kottek et al. (2006) <https://doi.org/10.1127/0941-2948/2006/0130>`__,2017,
`modis_lai <https://lpdaac.usgs.gov/products/mcd15a3hv006/>`__,landuse & landcover,RasterDataset,`Myneni et al (2015) <https://doi.org/10.5067/MODIS/MCD15A3H.006>`__,MCD15A3H V006,`Specific <https://lpdaac.usgs.gov/data/data-citation-and-policies/>`__
`osm_coastlines <https://osmdata.openstreetmap.de/data/coastlines.html>`__,,GeoDataFrame,,1.0,ODbL
`osm_landareas <https://osmdata.openstreetmap.de/data/coastlines.html>`__,,GeoDataFrame,,1.0,ODbL
`rgi <https://cds.climate.copernicus.eu/cdsapp#!/dataset/insitu-glaciers-extent?tab=overview>`__,surface water,GeoDataFrame,`Pfeffer et al. (2014) <https://doi.org/10.3189/2014JoG13J176>`__,6.0,CC BY 4.0
`simard <https://webmap.ornl.gov/ogc/dataset.jsp?ds_id=10023>`__,landuse & landcover,RasterDataset,`Simard et al (2011) <https://doi.org/10.1029/2011JG001708>`__,,
`soilgrids <https://www.isric.org/explore/soilgrids/faq-soilgrids-2017>`__,soil,RasterDataset,`Hengl et al. (2017) <https://doi.org/10.1371/journal.pone.0169748>`__,2017,ODbL
`vito <https://land.copernicus.eu/global/products/lc>`__,landuse & landcover,RasterDataset,`Buchhorn et al (2020) <https://doi.org/10.5281/zenodo.3939038>`__,v2.0.2,
`worldclim <https://www.worldclim.org/data/worldclim21.html>`__,meteo,RasterDataset,`Fick and Hijmans (2017) <https://doi.org/10.1002/joc.5086>`__,2,
